panelist_id,gender,age,age_recode,children,hh_income,place_of_residence,education,family
c03e08a1fdcf4b97,6fa99b,3980,cb21,ae24,a37d,fee5,4c63,74d3
a01f41af54998313,6fa99b,07e0,2154,ae24,a37d,6730,15a0,74d3
4e251a0d5d4ca48e,6fa99b,cf87,a714,ae24,d177,6730,b8b1,7e9b
d7810ac0f8207be5,8da82a,7807,a714,f70d,02c4,32b0,15a0,a18e
b1dcb5d717657d39,8da82a,82c5,a714,f70d,f8a7,fee5,4c63,d702
354471f893df6b8e,8da82a,3c9f,bc45,ae24,02c4,32b0,4c63,d702
3739ea7393e94fe5,8da82a,fae9,2154,ae24,f8a7,32b0,b8b1,d702
7ff09f10fa9835cf,6fa99b,a057,a714,f70d,d177,6730,15a0,d702
b8981c28b9aeeb75,6fa99b,cf87,a714,ae24,7770,32b0,b8b1,4ee3
dd3cbdd6641b85d9,8da82a,3980,cb21,ae24,a37d,4bdb,15a0,d702
